arxiv_id,title,authors,abstract,categories,published,updated,url,pdf_url
2605.06569v1,Equidistribution of Eigenfunctions of Quantum Cat Maps,Robert Koirala,"We prove that the short-period eigenfunctions of quantum cat maps constructed by Kim and the author equidistribute on $\mathbb{T}^2$ in the sense of semiclassical measures. We also show that their logarithmically large $\ell^\infty$-norm is asymptotically concentrated on a bounded number of coordinates. Thus, for this explicit family, strong coordinate localization coexists with semiclassical equidistribution. These results confirm the behavior suggested by earlier numerical evidence of Kim and the author, and contrast with the scarring phenomena for short-period eigenfunctions observed by Faure, Nonnenmacher, and De Bièvre.",math.AP; math-ph; math.DS; math.NT; math.SP,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06569v1,https://arxiv.org/pdf/2605.06569v1
2605.06566v1,A Unified SU(2) Framework for Vector Beam Transformations and Complex Beam Shaping,Gayathri G T; Gururaj Kadiri,"We present a constructive framework for designing transformations between structured light fields using birefringent optical elements, formulated in terms of SU(2) operations on polarization. Within this framework, transformations between vector beams are treated as spatially varying SU(2) operations, leading to a direct procedure for designing doubly inhomogeneous waveplates (d-plates) that implement the desired mapping. We identify a condition under which a single element implements a prescribed transformation exactly, including the global phase, and provide an explicit prescription for constructing the corresponding doubly inhomogeneous waveplate (d-plate) when this condition is satisfied, along with its realization using a finite sequence of singly inhomogeneous plates, including a QHQ configuration. Within this formulation, a broad class of problems in structured light can be treated within a single framework, including vector beam transformations, spin-orbital dynamics, and complex beam shaping. Crucially, the same SU(2) operations directly realize quantum channels on the orbital angular momentum degree of freedom, with polarization serving as a physical ancilla. These results establish a unified and explicitly constructive route to complex beam shaping and vector beam transformations based on SU(2) parameter synthesis, and provide a systematic foundation for designing next-generation photonic elements for structured light and spin-orbit information processing.",physics.optics; quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06566v1,https://arxiv.org/pdf/2605.06566v1
2605.06560v1,$F_K/F_π$ as a precision test of a new four flavor Domain Wall Fermion action,Renwick J. Hudspith; Nicolas Garron; Zack Hall; Andrew Hanlon; Henry Monge-Camacho; Colin Morningstar; Amy Nicholson; Dimitra A. Pefkou; Thomas R. Richardson; Fernando Romero-López; Miguel Salg; Wyatt A. Smith; Pavlos Vranas; André Walker-Loud; Bigeng Wang,"We present a new set of lattice QCD ensembles with four flavors of smeared Möbius Domain Wall Fermions with good chiral symmetry and small fifth-dimensional extent. A modest amount of computing resources was sufficient to generate 30 publicly-available ensembles spanning five lattice spacings and a broad range of pion masses down to physical. To scrutinize our action we determine $F_{K^{\pm}}/F_{π^{\pm}} = 1.1962(34)$, a key quantity for precision CKM unitarity tests, heralding a future of inexpensive high-precision calculations of hadronic observables with chiral fermions.",hep-lat; hep-ph; nucl-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06560v1,https://arxiv.org/pdf/2605.06560v1
2605.06550v1,Hadrons in $\mathcal{N}=2$ supersymmetric QCD from non-Abelian string on 2D black hole,E. Ievlev; A. Marshakov; G. Sumbatian; A. Yung,"We continue the study of non-Abelian vortex string in 4D $\mathcal{N}=2$ supersymmetric QCD as critical superstring, and extend this analysis to $U(N)$ gauge theory with arbitrary even $N$ and $N_f=2N$ number of quarks. We introduce a special mass deformation and show that the SQCD hadron spectrum is still given by the string spectrum on the 2D $\mathcal{N}=2$ supersymmetric black hole. We perform a cross-check by computing the multiplicity of hadronic states of the high-energy part of the spectrum both from string and field theory pictures. We also clarify the spontaneous breaking of the global flavor symmetry by VEV of the massless baryon. We finally claim, that phase diagram of $\mathcal{N}=2$ SQCD with $N_f=2N$ consists of the Higgs phase at weak coupling and string/hadronic phase at strong coupling, separated by phase transition, and is seen as a conifold transition from string theory point of view.",hep-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06550v1,https://arxiv.org/pdf/2605.06550v1
2605.06547v1,Affine Subcode Ensemble Decoding for Degeneracy-Aware Quantum Error Correction,Leo Wursthorn; Jonathan Mandelbaum; Sisi Miao; Hedongliang Liu; Holger Jäkel; Stergios Koutsioumpas; Laurent Schmalen,"Quantum low-density parity-check codes are promising candidates for low-overhead fault-tolerant quantum computing, but degeneracy is known to impair the convergence of belief-propagation (BP) decoding of these codes. In this work, we show that appending linearly independent rows to a check matrix of a stabilizer code can reduce the search space for a valid degenerate solution. Motivated by this, we extend the recently proposed affine subcode ensemble decoding technique from the classical to the quantum setting. Moreover, we employ overcomplete matrices for each decoding path. Monte-Carlo simulations on toric and generalized bicycle codes demonstrate improved convergence and reduced logical error rate.",cs.IT; quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06547v1,https://arxiv.org/pdf/2605.06547v1
2605.06543v1,A Rayleigh criterion for mechanical instability: inducing activity by chemo-mechanical coupling,Aaron Beyen; Francesco Casini; Christian Maes,"Instabilities in thermodynamic systems are often undesirable, as they can lead to loss of control or even catastrophic behavior. Yet, the same mechanisms can also generate rich nonequilibrium behavior and may play a constructive role in living systems. We introduce a theoretical framework, inspired by Rayleigh's analysis of thermoacoustic instabilities, to study the emergence of mechanical activity. In particular, we derive Rayleigh-like criteria governing the onset of activity and the generation of rotational motion in a slow Newtonian probe coupled to driven chemical processes, described by Markov jump processes. These criteria are expressed in terms of the phase relation between entropic and frenetic contributions, providing a transparent condition for when chemical driving results in sustained rotational or active mechanical motion.",cond-mat.stat-mech; cond-mat.soft; math-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06543v1,https://arxiv.org/pdf/2605.06543v1
2605.06542v1,de Sitter Wavefunction from Quadrangular Polylogarithms: Chain Graphs,Livia Ferro; Tomasz Lukowski; Lecheng Ren; Marcus Spradlin; Anastasia Volovich; He-Chen Weng; Yao-Qi Zhang,"We present an explicit formula for the $n$-site chain graph contribution to the cosmological wavefunction for conformally coupled $φ^3$ theory in de Sitter space. Our result relies on the recent finding that the symbol of this function satisfies total compatibility with respect to the $A_{2n-2}$ cluster algebra, and that Rudenko's quadrangular polylogarithms provide, by construction, a complete basis for such functions. We prove our formula by directly relating a recursive set of differential equations satisfied by these wavefunction coefficients to a recursive coproduct formula for quadrangular polylogarithms.",hep-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06542v1,https://arxiv.org/pdf/2605.06542v1
2605.06504v1,Eigenstates with Infinite Position Moments,Michal Jex,"We prove necessary and sufficient conditions for the Schrödinger operators to have zero-energy bound states at the threshold of the essential spectrum such that they have bounded $k$-th moment. This result is the extension of the results published in D. Hundertmark, M. Jex, and M. Lange [Forum Mathematics, Sigma 11(2023)].",math-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06504v1,https://arxiv.org/pdf/2605.06504v1
2605.06497v1,The Hagedorn Temperature as a Nonequilibrium Dynamical Bottleneck in String Thermodynamics,Cesar Damian; Oscar Loaiza-Brito,"The Hagedorn regime of string theory is usually understood as an equilibrium limiting phenomenon: the exponential growth of the density of states makes the canonical partition function singular at the Hagedorn temperature, while in the microcanonical description additional energy is absorbed predominantly by highly excited long-string configurations. In this work we revisit this regime from a nonequilibrium perspective using Steepest-Entropy-Ascent Quantum Thermodynamics (SEAQT), where thermodynamic evolution is formulated directly on the state manifold and does not require a globally well-defined canonical ensemble. The inverse temperature is treated as an instantaneous, state-dependent quantity, and we derive its exact scalar evolution equation. In the commuting limit, this dynamics is controlled by higher-order fluctuation moments, showing that the Hagedorn regime may act as a dynamical bottleneck for the response of the effective intensive variable. We then extend the construction to an open-system setting through a system--reservoir splitting of the SEAQT metric and show that reservoir coupling can drive the subsystem toward effective Hagedorn slowing-down. A diagonal Hagedorn evaluation further shows that the strength of this bottleneck depends not only on the exponential density of states, but also on its algebraic prefactor. These results provide a nonequilibrium interpretation of Hagedorn behavior and suggest a connection between long-string dominance, thermodynamic slowing-down, and the breakdown of effective descriptions in quantum gravity.",hep-th; hep-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06497v1,https://arxiv.org/pdf/2605.06497v1
2605.06473v1,"Engineering a driven-dissipative bath of altermagnetic quantum magnons for controlling classical dynamics of spins hosting spin waves, domain walls, or skyrmions",Felipe Reyes-Osorio; Branislav K. Nikolic,"Using Schwinger-Keldysh field theory (SKFT), we engineer a dissipative and driven (i.e., out of equilibrium) bosonic bath acting on classical localized spins within a ferromagnetic insulator (FI) layer whose dynamics is governed by the Landau-Lifshitz-Gilbert equation, as is usually assumed in spintronics and magnonics. The bosonic bath is comprised of quantum magnons within a layer of altermagnetic insulator (AMI) that is attached to a conventional FI layer, often one of the key ingredients within spintronic and magnonic multilayers, so that interaction between slow classical (in the FI layer) and fast quantum (in the AMI layer) localized spins ensues. Such a bath, including its driving to produce a nonequilibrium distribution of altermagnetic magnons, generates a rich structure of the SKFT-derived extended LLG equation for classical spins within the FI layer. Our LLG equation contains two damping terms, both of which are spatially nonlocal and anisotropic, while one of them is also intrinsically non-Markovian, i.e., nonlocal in time. We demonstrate how to exploit these terms for tuning spintronic and magnonic effects within the FI layer of AMI/FI bilayers that involve spin wave or domain wall propagation, as well as skyrmion annihilation.",cond-mat.mes-hall; quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06473v1,https://arxiv.org/pdf/2605.06473v1
2605.06465v1,Non-planar corrections in the symmetric orbifold,Matthias R. Gaberdiel; Beat Nairz; Cheng Peng,"We calculate the non-planar corrections to the anomalous dimensions of certain quarter BPS states in the symmetric product orbifold $\text{Sym}^N \big({\mathbb{T}^4}\big)$. We find that some of the degeneracies in the spectrum for large twist $w$ and large $N$ are lifted by these contributions. We furthermore find signatures of quantum chaos, namely level repulsion and random matrix statistics. This suggests that integrability is only present in the symmetric orbifold in the planar (i.e. large $N$) limit.",hep-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06465v1,https://arxiv.org/pdf/2605.06465v1
2605.06461v1,Quantum spin dynamics of heavy quarks and polarization observables in relativistic heavy-ion collisions,Sunil Jaiswal; Sourav Dey; Amaresh Jaiswal,"We develop a quantum spin-density-matrix framework for heavy-quark spin dynamics in relativistic heavy-ion collisions. Starting from an initial polarization induced along the magnetic-field direction, we derive the evolution equation for spin polarization within this framework and obtain analytic solutions. The evolved polarization is connected to open heavy-flavor observables via a fragmentation-based hadronization prescription. For vector mesons, the spin-alignment parameter $ρ_{00}$ is constructed by coupling the heavy-quark spin to that of the light antiquark produced during fragmentation. We confront our results with recent ALICE measurements of prompt $D^{*+}$ spin alignment in Pb--Pb collisions at $\sqrt{s_{\rm NN}}=5.02~{\rm TeV}$ and extract an effective depolarization strength that determines the spin-relaxation time scale. Using this fitted parameter, we provide benchmark estimates for $Λ_c^+$ and $\barΛ_c^-$ polarization, up to an overall spin-transfer normalization. We further estimate the recently proposed elliptic polarization harmonic arising from path-length-dependent depolarization in an anisotropic fireball.",hep-ph; nucl-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06461v1,https://arxiv.org/pdf/2605.06461v1
2605.06452v1,Tight Contraction Rates for Primitive Channels under Quantum $f$-Divergences,Matthew Simon Tan; Marco Tomamichel; Ian George,"Data-processing inequalities capture the phenomenon that two probability distributions can only become less distinguishable under any common post-processing. For more fine-grained inequalities, one turns to strong data-processing inequality (SDPI) constants, which give the strongest inequalities for a given channel and reference state for a fixed measure of distinguishability. These quantities have been used to quantify the rate at which time-homogeneous Markov chains contract towards a fixed point both in the classical and quantum setting. In this work, we establish that quantum $f$-divergences satisfy a local reverse Pinsker inequality, which implies the asymptotic contraction rate of a primitive channel to its stationary state is upper bounded by the SDPI constant of any non-commutative $χ^2$-divergence. Using quantum-detailed balance, we establish a sufficient condition for these bounds to be tight. Finally, we apply these results to Petz, Matsumoto, and Hirche-Tomamichel $f$-divergences, establishing new and strengthening previously known results.",quant-ph; cs.IT,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06452v1,https://arxiv.org/pdf/2605.06452v1
2605.06436v1,Criticality around the Spinodal Point of First-Order Quantum Phase Transitions,Fan Zhang; Chiao Wang; H. T. Quan,"Universality and scaling are hallmarks of second-order phase transitions but are generally unexpected in first-order quantum phase transitions (FOQPTs). We present a microscopic theory showing that quantum criticality can emerge around the quantum spinodal point of FOQPTs where metastability disappears. We demonstrate that, at this instability, resonant local excitations dynamically decouple a Hilbert subspace characterized by an emergent discrete translational symmetry. Projecting the original Hamiltonian onto this subspace yields an effective Hamiltonian that exhibits a genuine second-order quantum phase transition (SOQPT) and the Kibble-Zurek scaling. We validate this framework in the tilted Ising chain which breaks Z_2 symmetry, and predict the absence of criticality in the staggered-field PXP model. This work indicates that the FOQPT dynamics is usually governed by an emergent critical point around the quantum spinodal point. Our study establishes a bridge between the dynamics of the FOQPT and SOQPT, and thus sheds new light on the long-standing conundrum of the dynamics of the FOQPT.",cond-mat.stat-mech; quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06436v1,https://arxiv.org/pdf/2605.06436v1
2605.06430v1,Revisiting the multi-mode rhombus circuit as a biased-noise qubit,Pablo Aramburu Sanchez; Trevyn F. Q. Larson; Anthony P. McFadden; Constantin Schrade; Joshua Combes; András Gyenis,"In this work, we revisit the idea of using an interferometer of pairs of Josephson junctions as a protected rhombus qubit. Unlike in the original proposal, where the qubit states are encoded into odd and even parity charge states, here, we intentionally alter the energy of one of the junctions to investigate the soft version of the rhombus qubit. This approach allows us to directly probe the qubit transitions over several GHz and reduce the potential drawbacks of the interferometer-based protection. Away from a half flux quantum external field, the large shunting capacitors of the circuit ensure localized qubit states in different phase valleys, leading to a biased-noise qubit. In the realized circuit, we measure an average $T_1\approx500\,μ$s relaxation time in the biased-noise regime (with a Ramsey dephasing time of $T^{R}_\varphi\approx90\,$ns), while an average $T_1\approx27\,μ$s relaxation time at frustration (with $T^{R}_\varphi\approx670\,$ns). Our loss analysis on this multi-mode circuit indicates that at low frequencies, flux noise and quasiparticle tunneling limit the relaxation times, pointing toward the presence of an optimal operating regime of around a few GHz.",quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06430v1,https://arxiv.org/pdf/2605.06430v1
2605.06429v1,$\mathsf{GL}_N(\mathbb{C})$ Brownian motion and stochastic PDE on entire functions,Theodoros Assiotis; Zahra Sadat Mirsajjadi,"We construct the full edge scaling limit of the singular values of Brownian motion on the general linear group $\mathsf{GL}_N(\mathbb{C})$ starting from general conditions. We show that the limiting paths solve an infinite system of SDE with log-interaction and have a Gibbs resampling property with exponential Brownian bridges. Moreover, we show that the evolution of the limiting rescaled reverse characteristic polynomial solves a stochastic partial differential equation with a non-linear multiplicative noise and linear drift. From a special initial condition the resulting line ensemble coincides, in logarithmic coordinates, with a line ensemble constructed by Ahn which arises as a universal scaling limit of singular values of products of random matrices. We prove some analogous results on the evolution of limiting characteristic polynomials for two models whose stationary measures are given by the Hua-Pickrell and Bessel stochastic zeta functions respectively.",math.PR; math-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06429v1,https://arxiv.org/pdf/2605.06429v1
2605.06427v1,Multitime memory beyond the quantum regression theorem in sequential measurement statistics,Paolo Luppi; Claudia Benedetti; Andrea Smirne,"We investigate the presence of memory in the sequential measurement statistics of an open quantum system, as witnessed by the departure from the quantum regression theorem (QRT), that is, the possibility to predict multitime probabilities from the one-time reduced dynamical map. For factorized initial states, we identify an exact decomposition of the two-time propagator into a QRT-like contribution, fully determined by the reduced dynamical map, and a memory term encoding system--environment correlations across the intervention; in the weak-coupling regime, the memory term yields an explicit second-order correction expressed in terms of the reduced map and bath correlation functions. Furthermore, we introduce an operational quantifier of QRT violations based on the distance between exact and QRT-predicted joint probabilities. Benchmarking the framework on a spin--boson model and using a pseudomode embedding as nonperturbative reference, we comprehensively analyze the impact of spectral-density parameters, environmental temperature, and measurement protocols on the non-Markovianity of the multitime statistics. Comparison with a one-time quantifier shows that reduced-state non-Markovianity and multitime memory are related but inequivalent: the latter, as probed through sequential statistics, is intrinsically protocol dependent and can become visible at higher temporal order even when two-time statistics remain compatible with QRT predictions.",quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06427v1,https://arxiv.org/pdf/2605.06427v1
2605.06425v1,Comparative Study of Potts Machine Dynamics and Performance for Max-k-Cut,Bjarke Almer Frederiksen; Robbe De Prins; Peter Bienstman,"Combinatorial optimization problems in logistics, finance, energy, and scheduling routinely involve multi-state decision variables. Ising machines (IMs) require binary expansions (e.g., one-hot encoding) to encode such variables, whereas Potts machines (PMs) represent them natively. By doing so, PMs are expected to outperform IMs on multi-state problems. To the best of our knowledge, no systematic study of PM models has yet assessed whether this expectation holds. We therefore benchmark five representative PMs against a reference IM on Max-3-Cut and Max-4-Cut, using 800-vertex GSet graphs and random graphs of up to 50 vertices. Surprisingly, the reference IM still outperforms every PM, and the IM supremacy increases significantly in going from Max-3-Cut to Max-4-Cut. These results provide clear evidence that current PM dynamics underperform relative to binary approaches, even in regimes where they are presumed advantageous. We provide a way forward by quantifying the underperformance of current PMs, as well as by identifying three dynamical properties that correlate strongly with their performance ranking. Our work stresses the need for more systematic assessments of algorithmic performance in order to guide the design of more effective Potts machines.",cond-mat.stat-mech; math-ph; nlin.AO; nlin.CG; physics.app-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06425v1,https://arxiv.org/pdf/2605.06425v1
2605.06424v1,Finite-Time Optimal Control by Noisy Traps,Luca Cocconi; Henry Alston; Thibault Bertrand,"The optimal control of passive systems in equilibrium typically favours quasistatic (infinite-time) protocols. We show that a breakdown of quasistatic optimality occurs when the controller itself is dissipative. Concretely, we study a Brownian particle confined by a harmonic trap with stochastically fluctuating stiffness, driven by an external protocol. When these fluctuations violate detailed balance, the probe-controller coupling continuously exchanges work with the system, altering the optimisation landscape. In this regime, optimal protocols are characterised by a finite duration which vanishes above a critical fluctuation strength. This transition can be directly observed in a short-time expansion of the mean work functional. When imposing an endpoint constraint, the transition to zero duration disappears and finite duration protocols remain optimal for all values of the controller fluctuations. These results demonstrate that finite-time optimality can emerge in passive systems under nonequilibrium control.",cond-mat.stat-mech; math-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06424v1,https://arxiv.org/pdf/2605.06424v1
